method,LogP_mean,LogP_se,MR_mean,MR_se,QED_mean,QED_se,avg
Zero-shot,0.1700,0,0.1314,0,0.1114,0,0.1376
GRPO,0.1222,0.0112,0.0956,0.0132,0.0699,0.0061,0.0959
C1: Iterative SFT,0.1888,0.0266,0.1736,0.0200,0.1257,0.0116,0.1627
C2: Offline-Str.,0.1974,0.0076,0.1853,0.0045,0.1130,0.0108,0.1652
RePO,0.1877,0.0076,0.1860,0.0089,0.1258,0.0033,0.1665
APIAR,0.1977,0.0104,0.1904,0.0100,0.1440,0.0081,0.1773
