method,metric,first,mid,last,min,max
RePO DSI,reward,0.2756781701464206,0.34265599865466356,0.6109414733946323,0.09692897321656346,0.9941014442592859
RePO DSI,reward_std,0.2018779548816383,0.3311458397656679,0.4575219568796456,0.12020533217582852,1.0105410884134471
RePO DSI,advantage/abs_mean,0.765656977891922,0.6695824526250362,0.6680767461657524,0.48851051181554794,0.7953663095831871
RePO DSI,advantage/std,0.5072132498025894,0.893061451613903,0.8744967579841614,0.08729153592139482,1.1405938372481614
RePO DSI,advantage/pos_frac,0.5625,0.40625,0.46875,0.09375,0.75
RePO DSI,advantage/zero_frac,0.0,0.125,0.125,0.0,0.375
RePO DSI,kl,0.0,0.2550048828125,0.30908203125,0.0,151.11944580078125
RePO DSI,s_loss,0.8875036127865314,0.2795308865606785,0.11173915630206466,0.060355869645718485,1.383833521977067
v15.1 Boosted,reward,0.2756781701464206,0.5252907210960984,0.662538206204772,0.17944598197937012,0.8656783429905772
v15.1 Boosted,reward_std,0.2018779548816383,0.4699446321465075,0.42553919181227684,0.08807187341153622,0.6835560146719217
v15.1 Boosted,advantage/abs_mean,0.678602360188961,0.7633979581296444,0.7609832063317299,0.37471455335617065,0.7964558862149715
v15.1 Boosted,advantage/std,0.7552340440452099,0.8656959421932697,0.8657649010419846,0.4326831176877022,0.8658320605754852
v15.1 Boosted,advantage/pos_frac,0.46875,0.5,0.515625,0.234375,0.6875
v15.1 Boosted,advantage/zero_frac,0.125,0.0,0.0,0.0,0.5
v15.1 Boosted,kl,0.0,0.3310546875,0.26800537109375,0.0,122.23162841796875
v15.1 Boosted,s_loss,0.8875036127865314,0.37215952295809984,0.12174099357798696,0.09439748618751764,1.4066529599949718
v15.1 Boosted,beta_guide_mean,0.8361256159842014,0.6188473086804152,0.6163936518132687,0.4464275799691677,1.0896480306982994
v15.1 Retrain,reward,0.35788292437791824,0.6883790791034698,0.44424509070813656,-0.34025135915726423,1.2684704288840294
v15.1 Retrain,reward_std,0.19568335451185703,0.3412327840924263,0.34619315341115,0.10039179027080536,1.7736105062067509
v15.1 Retrain,advantage/abs_mean,0.6610149070620537,0.7493798583745956,0.7599250599741936,0.26549335569143295,0.836994931101799
v15.1 Retrain,advantage/std,0.7531130909919739,0.8657703995704651,0.865741491317749,0.32462360709905624,0.8658762201666832
v15.1 Retrain,advantage/pos_frac,0.46875,0.6875,0.46875,0.1875,0.6875
v15.1 Retrain,advantage/zero_frac,0.125,0.0,0.0,0.0,0.625
v15.1 Retrain,kl,0.0,0.275390625,0.364990234375,0.0,13.5928955078125
v15.1 Retrain,s_loss,0.8886394463479519,0.47851757891476154,0.11845853412523866,0.06337487045675516,1.626495711505413
v15.1 Retrain,beta_guide_mean,0.7181660532951355,0.6532396078109741,0.8270465806126595,0.4226805903017521,1.2449230402708054
v16,reward,0.35788292437791824,0.5003514597192407,0.873348381370306,0.010873358696699142,6.172225549817085
v16,reward_std,0.19568335451185703,0.4564915392547846,0.8195895906537771,0.05706568155437708,10.550716266036034
v16,advantage/abs_mean,0.6610149070620537,0.7501779347658157,0.7665102183818817,0.2669486477971077,0.827123150229454
v16,advantage/std,0.7531130909919739,0.8657752200961113,0.8658480122685432,0.32451581954956055,0.8659417852759361
v16,advantage/pos_frac,0.46875,0.46875,0.5625,0.125,0.71875
v16,advantage/zero_frac,0.125,0.0,0.0,0.0,0.625
v16,kl,0.0,0.599609375,0.455322265625,0.0,102912.40771484375
v16,s_loss,0.906171839684248,0.5054236967116594,0.22023065760731697,0.11214574775658548,1.5962935648858547
v16,beta_guide_mean,0.7181660532951355,0.6940066516399384,0.620680682361126,0.3578011393547058,1.1903036236763
